인덱스,발화,장소,난이도
6478,좀 운동 공간으로 이동해 진짜,exercise,direct
6479,혹시 운동해야 하는데,exercise,indirect
6480,음 움직여야 할 것 같아 진짜.,exercise,ambiguous
6481,음 주방 쪽으로 안내해 약간 싶네,kitchen,direct
6482,갑자기 목이 좀 마른데 싶네,kitchen,indirect
6483,오늘 가볍게 뭐라도 하고 싶다 약간.,kitchen,ambiguous
6484,음 거실 쪽으로 가자 왠지.,living room,direct
6485,혹시 TV 보고 싶다 좀,living room,indirect
6486,혹시 오늘 너무 피곤하다 좀,living room,ambiguous
6487,음 침실 쪽으로 가자 진짜 좀,bedroom,direct
6488,지금 눈이 감긴다 왠지 해야겠다,bedroom,indirect
6489,지금 조용한 분위기가 좋다 조금 해야겠다,bedroom,ambiguous
6490,지금 트레이닝 공간으로 가 왠지 싶네,exercise,direct
6491,혹시 가볍게 뛰고 싶네 진짜 좀,exercise,indirect
6492,혹시 움직여야 할 것 같아 ㅠㅠ,exercise,ambiguous
6493,아 냉장고 있는 곳으로 가 왠지!,kitchen,direct
6494,좀 물 마시고 싶다 조금!,kitchen,indirect
6495,지금 손 가는 걸 해보고 싶다 싶네,kitchen,ambiguous
6496,거실로 가줘 왠지 좀,living room,direct
6497,지금 휴식이 필요해 왠지 해야겠다,living room,indirect
6498,혹시 조용히 있고 싶네 조금 ㅠㅠ,living room,ambiguous
6499,아 조용한 방으로 가줘 진짜.,bedroom,direct
6500,혹시 잠깐 낮잠 자고 싶다 약간 좀,bedroom,indirect
6501,아 오늘은 아무것도 하기 싫다 진짜,bedroom,ambiguous
6502,좀 운동 공간으로 이동해 약간 좀,exercise,direct
6503,갑자기 가볍게 뛰고 싶네 조금 ㅠㅠ,exercise,indirect
6504,아 가만히 있기 싫다!,exercise,ambiguous
6505,좀 냉장고 있는 곳으로 가,kitchen,direct
6506,오늘 컵라면이라도 먹을까 조금 좀,kitchen,indirect
6507,기분 전환 좀 할까.,kitchen,ambiguous
6508,좀 소파 앞으로 가 왠지 싶네,living room,direct
6509,갑자기 TV 보고 싶다 약간.,living room,indirect
6510,갑자기 가볍게 쉬고 싶다 진짜!,living room,ambiguous
6511,오늘 침대 있는 방으로 이동해 조금.,bedroom,direct
6512,지금 누워 있고 싶다 조금 같은데,bedroom,indirect
6513,가만히 있고 싶다 약간,bedroom,ambiguous
6514,좀 운동하는 곳으로 가줘 왠지,exercise,direct
6515,혹시 너무 오래 앉아 있었네 진짜 ㅠㅠ,exercise,indirect
6516,오늘 몸이 무거운 느낌이다 진짜 ㅠㅠ,exercise,ambiguous
6517,좀 요리하는 공간으로 가줘 진짜.,kitchen,direct
6518,간식 먹고 싶다 약간,kitchen,indirect
6519,아 조금 움직여볼까 조금 같은데,kitchen,ambiguous
6520,갑자기 TV 있는 데로 이동해 약간 같은데,living room,direct
6521,오늘 편한 분위기가 좋다 왠지 같은데,living room,indirect
6522,갑자기 잠깐 머리 식히고 싶네 진짜 해야겠다,living room,ambiguous
6523,갑자기 조용한 방으로 가줘 왠지,bedroom,direct
6524,혹시 너무 졸리다 진짜!,bedroom,indirect
6525,갑자기 생각 정리 좀 하고 싶네 진짜 싶네,bedroom,ambiguous
6526,음 운동하는 곳으로 가줘 약간.,exercise,direct
6527,지금 가볍게 뛰고 싶네 왠지,exercise,indirect
6528,몸이 무거운 느낌이다 약간,exercise,ambiguous
6529,갑자기 주방으로 데려다줘 약간 싶네,kitchen,direct
6530,지금 간식 먹고 싶다 진짜!,kitchen,indirect
6531,음 간단하게 해결할 게 없나 같은데,kitchen,ambiguous
6532,좀 TV 있는 데로 이동해 왠지 ㅠㅠ,living room,direct
6533,좀 편한 분위기가 좋다 왠지,living room,indirect
6534,아 편한 데 가고 싶어 진짜 같은데,living room,ambiguous
6535,혹시 잠잘 곳으로 안내해 조금 좀,bedroom,direct
6536,좀 침대 생각난다 약간 좀,bedroom,indirect
6537,갑자기 혼자 있고 싶네 조금.,bedroom,ambiguous
6538,몸 움직일 곳으로 가줘 약간 ㅠㅠ,exercise,direct
6539,음 몸 좀 움직이고 싶다 약간 ㅠㅠ,exercise,indirect
6540,가만히 있기 싫다,exercise,ambiguous
6541,아 싱크대 있는 데로 가 조금 좀,kitchen,direct
6542,혹시 컵라면이라도 먹을까 약간 해야겠다,kitchen,indirect
6543,좀 오늘 뭔가 만들어볼까.,kitchen,ambiguous
6544,지금 거실로 안내해 약간 ㅠㅠ,living room,direct
6545,갑자기 TV 보고 싶다 진짜 좀,living room,indirect
6546,가볍게 쉬고 싶다 왠지.,living room,ambiguous
6547,아 잠잘 곳으로 안내해 왠지 같은데,bedroom,direct
6548,잠깐 낮잠 자고 싶다 약간 해야겠다,bedroom,indirect
6549,혹시 좀 숨고 싶다.,bedroom,ambiguous
6550,운동 장소로 이동하자.,exercise,direct
6551,아 활동적으로 움직이고 싶다,exercise,indirect
6552,음 활력이 필요하다 진짜,exercise,ambiguous
6553,좀 주방 쪽으로 안내해 해야겠다,kitchen,direct
6554,지금 간단하게 요기하고 싶어,kitchen,indirect
6555,뭔가 하고 싶네 왠지 좀,kitchen,ambiguous
6556,갑자기 거실로 데려다줘 왠지 좀,living room,direct
6557,갑자기 좀 쉬고 싶네 조금!,living room,indirect
6558,지금 가볍게 쉬고 싶다 조금.,living room,ambiguous
6559,아 방으로 가고 싶어 왠지 ㅠㅠ,bedroom,direct
6560,아 잠깐 낮잠 자고 싶다 조금.,bedroom,indirect
6561,혹시 조용한 데 가고 싶다 약간 해야겠다,bedroom,ambiguous
6562,아 트레이닝 공간으로 가 약간 좀,exercise,direct
6563,갑자기 체력이 떨어진 느낌이야 약간 싶네,exercise,indirect
6564,갑자기 가만히 있기 싫다 진짜,exercise,ambiguous
6565,좀 요리하는 공간으로 가줘 왠지!,kitchen,direct
6566,갑자기 뭔가 만들어 먹고 싶네.,kitchen,indirect
6567,갑자기 조금 움직여볼까 진짜 싶네,kitchen,ambiguous
6568,오늘 쉬는 공간으로 이동하자 진짜 좀,living room,direct
6569,갑자기 TV 보고 싶다 왠지 같은데,living room,indirect
6570,오늘 조용히 있고 싶네 약간!,living room,ambiguous
6571,자는 곳으로 가 조금,bedroom,direct
6572,혹시 이불 덮고 싶어 조금,bedroom,indirect
6573,혹시 방해받기 싫다 왠지 싶네,bedroom,ambiguous
6574,아 트레이닝 공간으로 가 ㅠㅠ,exercise,direct
6575,혹시 땀 좀 흘리고 싶다 약간 좀,exercise,indirect
6576,지금 리프레시하고 싶네.,exercise,ambiguous
6577,음 냉장고 있는 곳으로 가 조금 ㅠㅠ,kitchen,direct
6578,오늘 커피 한잔 하고 싶다 왠지!,kitchen,indirect
6579,간단하게 해결할 게 없나 왠지!,kitchen,ambiguous
6580,음 소파 있는 곳으로 가 왠지.,living room,direct
6581,혹시 잠깐 멍 때리고 싶네 ㅠㅠ,living room,indirect
6582,음 기분 전환이 필요하다 약간 해야겠다,living room,ambiguous
6583,오늘 조용한 방으로 가줘 왠지 해야겠다,bedroom,direct
6584,지금 쉬면서 자고 싶어 싶네,bedroom,indirect
6585,오늘 가만히 있고 싶다 조금 싶네,bedroom,ambiguous
6586,운동 장소로 이동하자 ㅠㅠ,exercise,direct
6587,혹시 너무 오래 앉아 있었네,exercise,indirect
6588,지금 답답해서 움직이고 싶다 진짜 좀,exercise,ambiguous
6589,혹시 냉장고 앞으로 가 조금,kitchen,direct
6590,지금 배가 좀 고프네 진짜.,kitchen,indirect
6591,좀 오늘은 직접 해볼까 약간 싶네,kitchen,ambiguous
6592,혹시 소파 앞으로 가!,living room,direct
6593,지금 드라마 보고 싶다 왠지 좀,living room,indirect
6594,지금 한숨 돌리고 싶다 해야겠다,living room,ambiguous
6595,조용한 방으로 가줘,bedroom,direct
6596,너무 졸리다 약간 좀,bedroom,indirect
6597,갑자기 혼자 있고 싶네 조금 ㅠㅠ,bedroom,ambiguous
6598,음 트레이닝 공간으로 가 약간!,exercise,direct
6599,아 너무 오래 앉아 있었네 진짜 같은데,exercise,indirect
6600,좀 조금 활동하고 싶네 진짜!,exercise,ambiguous
6601,좀 싱크대 있는 데로 가 왠지,kitchen,direct
6602,갑자기 목이 좀 마른데 조금!,kitchen,indirect
6603,좀 조금 움직여볼까 왠지!,kitchen,ambiguous
6604,혹시 TV 앞에 가고 싶어!,living room,direct
6605,갑자기 잠깐 멍 때리고 싶네 약간 해야겠다,living room,indirect
6606,느긋하게 있고 싶어 약간 좀,living room,ambiguous
6607,좀 침실로 데려다줘 조금,bedroom,direct
6608,혹시 몸이 너무 피곤하다 약간 해야겠다,bedroom,indirect
6609,아 조용한 데 가고 싶다 약간 좀,bedroom,ambiguous
6610,아 운동하러 가자 약간 ㅠㅠ,exercise,direct
6611,혹시 체력이 떨어진 느낌이야 약간 싶네,exercise,indirect
6612,음 가만히 있기 싫다 조금 같은데,exercise,ambiguous
6613,지금 냉장고 앞으로 가 약간!,kitchen,direct
6614,지금 컵라면이라도 먹을까 진짜!,kitchen,indirect
6615,오늘 오늘 뭔가 만들어볼까 약간.,kitchen,ambiguous
6616,지금 거실로 가줘 ㅠㅠ,living room,direct
6617,갑자기 휴식이 필요해 조금,living room,indirect
6618,오늘 편한 데 가고 싶어 싶네,living room,ambiguous
6619,침실 쪽으로 가자,bedroom,direct
6620,아 너무 졸리다 해야겠다,bedroom,indirect
6621,갑자기 오늘은 아무것도 하기 싫다 약간,bedroom,ambiguous
6622,음 운동방으로 안내해 왠지 좀,exercise,direct
6623,음 운동 안 한 지 오래됐다 해야겠다,exercise,indirect
6624,혹시 활력이 필요하다 조금 좀,exercise,ambiguous
6625,아 싱크대 있는 데로 가 진짜 ㅠㅠ,kitchen,direct
6626,좀 커피 한잔 하고 싶다 왠지 해야겠다,kitchen,indirect
6627,음 오늘 뭔가 만들어볼까 진짜,kitchen,ambiguous
6628,거실로 안내해 진짜 ㅠㅠ,living room,direct
6629,갑자기 편한 분위기가 좋다 진짜.,living room,indirect
6630,지금 가볍게 쉬고 싶다 약간 싶네,living room,ambiguous
6631,아 침대 있는 방으로 이동해 진짜 해야겠다,bedroom,direct
6632,너무 졸리다 왠지 좀,bedroom,indirect
6633,잠잠한 곳이 좋네 약간 ㅠㅠ,bedroom,ambiguous
6634,갑자기 스트레칭할 공간으로 가고 싶어 조금.,exercise,direct
6635,오늘 스트레칭하고 싶다 진짜 ㅠㅠ,exercise,indirect
6636,조금 활동하고 싶네 왠지 싶네,exercise,ambiguous
6637,음 주방으로 데려다줘 약간 해야겠다,kitchen,direct
6638,혹시 뭐 먹을 거 없나 왠지.,kitchen,indirect
6639,지금 조금 움직여볼까 진짜.,kitchen,ambiguous
6640,음 TV 있는 데로 이동해 왠지,living room,direct
6641,음 편하게 기대고 싶어 왠지 싶네,living room,indirect
6642,오늘 너무 피곤하다 왠지 해야겠다,living room,ambiguous
6643,음 내 방으로 이동해 진짜 싶네,bedroom,direct
6644,잠 좀 자고 싶네 조금 ㅠㅠ,bedroom,indirect
6645,갑자기 가만히 있고 싶다 왠지 싶네,bedroom,ambiguous
6646,좀 운동할 수 있는 곳으로 가 진짜!,exercise,direct
6647,갑자기 몸이 찌뿌둥하다 왠지 싶네,exercise,indirect
6648,아 답답해서 움직이고 싶다!,exercise,ambiguous
6649,지금 냉장고 앞으로 가,kitchen,direct
6650,컵라면이라도 먹을까 진짜!,kitchen,indirect
6651,혹시 손 가는 걸 해보고 싶다,kitchen,ambiguous
6652,혹시 편하게 앉을 곳으로 가줘!,living room,direct
6653,지금 편하게 기대고 싶어 왠지 ㅠㅠ,living room,indirect
6654,혹시 오늘 너무 피곤하다 조금!,living room,ambiguous
6655,오늘 침실로 가줘 진짜 같은데,bedroom,direct
6656,혹시 잠 좀 자고 싶네 진짜,bedroom,indirect
6657,가만히 있고 싶다 조금 좀,bedroom,ambiguous
6658,오늘 운동 공간으로 이동해 같은데,exercise,direct
6659,오늘 운동 안 한 지 오래됐다 약간 싶네,exercise,indirect
6660,조금 활동하고 싶네 약간 좀,exercise,ambiguous
6661,혹시 냉장고 있는 곳으로 가 조금 좀,kitchen,direct
6662,갑자기 뭐 먹을 거 없나 왠지 싶네,kitchen,indirect
6663,혹시 오늘 뭔가 만들어볼까 같은데,kitchen,ambiguous
6664,TV 있는 데로 이동해 조금 ㅠㅠ,living room,direct
6665,오늘 편한 분위기가 좋다.,living room,indirect
6666,갑자기 아무것도 안 하고 싶다 진짜!,living room,ambiguous
6667,혹시 침대 있는 방으로 이동해 해야겠다,bedroom,direct
6668,오늘 누워 있고 싶다 조금.,bedroom,indirect
6669,지금 오늘은 아무것도 하기 싫다 진짜!,bedroom,ambiguous
6670,음 헬스하는 데로 가 약간!,exercise,direct
6671,갑자기 너무 오래 앉아 있었네 왠지,exercise,indirect
6672,음 리프레시하고 싶네 해야겠다,exercise,ambiguous
6673,오늘 주방 쪽으로 안내해 진짜 ㅠㅠ,kitchen,direct
6674,좀 목이 좀 마른데 진짜 좀,kitchen,indirect
6675,혹시 간단하게 해결할 게 없나.,kitchen,ambiguous
6676,아 소파 앞으로 가 왠지!,living room,direct
6677,지금 오늘은 아무 생각 하기 싫다 조금 싶네,living room,indirect
6678,아 잠깐 머리 식히고 싶네 진짜 ㅠㅠ,living room,ambiguous
6679,좀 내 방으로 이동해 약간 싶네,bedroom,direct
6680,눈이 감긴다 약간 좀,bedroom,indirect
6681,좀 숨고 싶다 왠지 ㅠㅠ,bedroom,ambiguous
6682,오늘 트레이닝 공간으로 가 왠지 ㅠㅠ,exercise,direct
6683,오늘 몸 좀 움직이고 싶다 조금!,exercise,indirect
6684,아 몸이 무거운 느낌이다 왠지 ㅠㅠ,exercise,ambiguous
6685,갑자기 주방으로 데려다줘 약간.,kitchen,direct
6686,혹시 냉장고 확인하고 싶다!,kitchen,indirect
6687,아 오늘 뭔가 만들어볼까 왠지.,kitchen,ambiguous
6688,지금 소파 앞으로 가 조금 해야겠다,living room,direct
6689,아 잠깐 멍 때리고 싶네 왠지!,living room,indirect
6690,혹시 오늘 너무 피곤하다 진짜!,living room,ambiguous
6691,갑자기 침실로 가줘 진짜 ㅠㅠ,bedroom,direct
6692,잠 좀 자고 싶네 진짜 싶네,bedroom,indirect
6693,음 가만히 있고 싶다,bedroom,ambiguous
6694,몸 움직일 곳으로 가줘 진짜.,exercise,direct
6695,아 스트레칭하고 싶다 진짜,exercise,indirect
6696,아 가만히 있기 싫다 싶네,exercise,ambiguous
6697,갑자기 부엌으로 이동해.,kitchen,direct
6698,지금 간식 먹고 싶다 조금 좀,kitchen,indirect
6699,아 오늘은 직접 해볼까 진짜 싶네,kitchen,ambiguous
6700,아 거실로 가줘 좀,living room,direct
6701,좀 소파에 눕고 싶다 진짜 싶네,living room,indirect
6702,편한 데 가고 싶어 조금 좀,living room,ambiguous
6703,갑자기 침실로 가줘 싶네,bedroom,direct
6704,지금 너무 졸리다 조금 싶네,bedroom,indirect
6705,음 가만히 있고 싶다 진짜!,bedroom,ambiguous
6706,헬스하는 데로 가 왠지.,exercise,direct
6707,지금 몸 좀 움직이고 싶다 진짜 싶네,exercise,indirect
6708,혹시 뭔가 역동적인 걸 하고 싶다 진짜.,exercise,ambiguous
6709,갑자기 냉장고 앞으로 가 조금.,kitchen,direct
6710,아 냉장고 확인하고 싶다 조금,kitchen,indirect
6711,혹시 오늘은 직접 해볼까 진짜 ㅠㅠ,kitchen,ambiguous
6712,아 편하게 앉을 곳으로 가줘 진짜 좀,living room,direct
6713,지금 편한 분위기가 좋다 약간 좀,living room,indirect
6714,음 가볍게 쉬고 싶다 진짜!,living room,ambiguous
6715,아 침대 있는 방으로 이동해 진짜 같은데,bedroom,direct
6716,좀 눈이 감긴다 싶네,bedroom,indirect
6717,음 가만히 있고 싶다 약간 해야겠다,bedroom,ambiguous
6718,혹시 몸 움직일 곳으로 가줘 약간 해야겠다,exercise,direct
6719,지금 몸 좀 움직이고 싶다 약간 해야겠다,exercise,indirect
6720,갑자기 활력이 필요하다 조금 싶네,exercise,ambiguous
6721,혹시 요리하는 공간으로 가줘 약간 싶네,kitchen,direct
6722,오늘 물 마시고 싶다 왠지 좀,kitchen,indirect
6723,오늘 뭔가 만들어볼까 진짜!,kitchen,ambiguous
6724,음 편하게 앉을 곳으로 가줘 왠지 싶네,living room,direct
6725,아 편한 분위기가 좋다 ㅠㅠ,living room,indirect
6726,혹시 조용히 있고 싶네 약간!,living room,ambiguous
6727,혹시 침실로 가줘 진짜 싶네,bedroom,direct
6728,음 침대 생각난다 약간.,bedroom,indirect
6729,오늘 생각 정리 좀 하고 싶네 진짜 좀,bedroom,ambiguous
6730,좀 운동 장소로 이동하자 왠지 ㅠㅠ,exercise,direct
6731,오늘 몸이 찌뿌둥하다 조금 싶네,exercise,indirect
6732,좀 답답해서 움직이고 싶다 조금 ㅠㅠ,exercise,ambiguous
6733,혹시 부엌으로 이동해!,kitchen,direct
6734,갑자기 목이 좀 마른데 같은데,kitchen,indirect
6735,기분 전환 좀 할까 좀,kitchen,ambiguous
6736,거실 쪽으로 가자!,living room,direct
6737,오늘 소파에 눕고 싶다 왠지 같은데,living room,indirect
6738,아무것도 안 하고 싶다 해야겠다,living room,ambiguous
6739,갑자기 내 방으로 이동해!,bedroom,direct
6740,아 눈이 감긴다 왠지 해야겠다,bedroom,indirect
6741,아 좀 숨고 싶다 진짜.,bedroom,ambiguous
6742,혹시 운동하러 가자 진짜 해야겠다,exercise,direct
6743,혹시 너무 오래 앉아 있었네 왠지 해야겠다,exercise,indirect
6744,아 답답해서 움직이고 싶다 약간,exercise,ambiguous
6745,좀 주방으로 가줘 조금 좀,kitchen,direct
6746,갑자기 물 마시고 싶다 진짜.,kitchen,indirect
6747,갑자기 오늘은 직접 해볼까,kitchen,ambiguous
6748,소파 있는 곳으로 가 왠지 싶네,living room,direct
6749,갑자기 드라마 보고 싶다 같은데,living room,indirect
6750,혹시 오늘 너무 피곤하다 좀,living room,ambiguous
6751,아 침실로 가줘 좀,bedroom,direct
6752,좀 침대 생각난다 약간,bedroom,indirect
6753,조용한 분위기가 좋다 진짜 같은데,bedroom,ambiguous
6754,오늘 운동 공간으로 이동해 왠지 해야겠다,exercise,direct
6755,음 몸이 찌뿌둥하다 조금!,exercise,indirect
6756,갑자기 리프레시하고 싶네 진짜 같은데,exercise,ambiguous
6757,갑자기 싱크대 있는 데로 가 약간!,kitchen,direct
6758,좀 냉장고 확인하고 싶다 왠지 좀,kitchen,indirect
6759,혹시 간단하게 해결할 게 없나 진짜 좀,kitchen,ambiguous
6760,좀 소파 있는 곳으로 가 진짜.,living room,direct
6761,음 오늘은 아무 생각 하기 싫다 약간,living room,indirect
6762,오늘 오늘 너무 피곤하다 조금.,living room,ambiguous
6763,갑자기 침실로 데려다줘 조금 같은데,bedroom,direct
6764,좀 잠깐 낮잠 자고 싶다 진짜 좀,bedroom,indirect
6765,혹시 가만히 있고 싶다 왠지!,bedroom,ambiguous
6766,갑자기 운동하는 곳으로 가줘 진짜 ㅠㅠ,exercise,direct
6767,아 땀 좀 흘리고 싶다.,exercise,indirect
6768,몸이 무거운 느낌이다 진짜 해야겠다,exercise,ambiguous
6769,지금 싱크대 있는 데로 가 조금 같은데,kitchen,direct
6770,지금 커피 한잔 하고 싶다 ㅠㅠ,kitchen,indirect
6771,오늘 오늘 뭔가 만들어볼까 왠지,kitchen,ambiguous
6772,오늘 거실로 데려다줘 진짜.,living room,direct
6773,좀 편한 분위기가 좋다 ㅠㅠ,living room,indirect
6774,음 한숨 돌리고 싶다 싶네,living room,ambiguous
6775,음 자는 곳으로 가 조금 좀,bedroom,direct
6776,음 몸이 너무 피곤하다,bedroom,indirect
6777,음 잠잠한 곳이 좋네 조금 싶네,bedroom,ambiguous
6778,혹시 운동할 수 있는 곳으로 가 조금 싶네,exercise,direct
6779,너무 오래 앉아 있었네 약간 ㅠㅠ,exercise,indirect
6780,혹시 가만히 있기 싫다 진짜 좀,exercise,ambiguous
6781,냉장고 앞으로 가 조금 ㅠㅠ,kitchen,direct
6782,냉장고 확인하고 싶다 왠지 좀,kitchen,indirect
6783,지금 괜히 돌아다니고 싶다 진짜 ㅠㅠ,kitchen,ambiguous
6784,TV 있는 데로 이동해 진짜 해야겠다,living room,direct
6785,음 편하게 기대고 싶어 조금 싶네,living room,indirect
6786,오늘은 늘어지고 싶다 약간 싶네,living room,ambiguous
6787,오늘 침실 쪽으로 가자 왠지 해야겠다,bedroom,direct
6788,혹시 쉬면서 자고 싶어 약간 ㅠㅠ,bedroom,indirect
6789,좀 오늘은 아무것도 하기 싫다 조금 싶네,bedroom,ambiguous
6790,음 운동방으로 안내해 진짜 좀,exercise,direct
6791,지금 너무 오래 앉아 있었네 좀,exercise,indirect
6792,갑자기 뭔가 역동적인 걸 하고 싶다 조금 싶네,exercise,ambiguous
6793,오늘 싱크대 있는 데로 가 조금!,kitchen,direct
6794,오늘 뭔가 만들어 먹고 싶네 진짜 해야겠다,kitchen,indirect
6795,지금 손 가는 걸 해보고 싶다 왠지 싶네,kitchen,ambiguous
6796,좀 거실로 안내해 싶네,living room,direct
6797,좀 잠깐 멍 때리고 싶네 진짜,living room,indirect
6798,조용히 있고 싶네 조금.,living room,ambiguous
6799,음 방으로 가고 싶어.,bedroom,direct
6800,혹시 누워 있고 싶다 조금 같은데,bedroom,indirect
6801,오늘 방해받기 싫다 진짜 좀,bedroom,ambiguous
6802,오늘 운동 공간으로 이동해 진짜 해야겠다,exercise,direct
6803,오늘 가볍게 뛰고 싶네 약간 해야겠다,exercise,indirect
6804,혹시 기분 전환이 필요해 왠지 ㅠㅠ,exercise,ambiguous
6805,갑자기 냉장고 있는 곳으로 가 왠지 해야겠다,kitchen,direct
6806,좀 컵라면이라도 먹을까 왠지 싶네,kitchen,indirect
6807,혹시 간단하게 해결할 게 없나 왠지 해야겠다,kitchen,ambiguous
6808,오늘 거실로 가줘 진짜 해야겠다,living room,direct
6809,좀 휴식이 필요해 조금,living room,indirect
6810,편한 데 가고 싶어 ㅠㅠ,living room,ambiguous
6811,혹시 침실로 가줘 왠지 ㅠㅠ,bedroom,direct
6812,혹시 너무 졸리다!,bedroom,indirect
6813,음 혼자 있고 싶네 약간.,bedroom,ambiguous
6814,혹시 트레이닝 공간으로 가 왠지!,exercise,direct
6815,아 너무 오래 앉아 있었네 조금,exercise,indirect
6816,답답해서 움직이고 싶다 조금,exercise,ambiguous
6817,주방 쪽으로 안내해 진짜 ㅠㅠ,kitchen,direct
6818,혹시 뭔가 만들어 먹고 싶네 진짜 같은데,kitchen,indirect
6819,갑자기 가볍게 뭐라도 하고 싶다 조금!,kitchen,ambiguous
6820,오늘 편하게 앉을 곳으로 가줘 조금 해야겠다,living room,direct
6821,지금 좀 쉬고 싶네 조금 ㅠㅠ,living room,indirect
6822,지금 오늘 너무 피곤하다 조금,living room,ambiguous
6823,오늘 조용한 방으로 가줘 진짜,bedroom,direct
6824,오늘 누워 있고 싶다 진짜,bedroom,indirect
6825,오늘 잠잠한 곳이 좋네 해야겠다,bedroom,ambiguous
6826,아 운동하러 가자 진짜.,exercise,direct
6827,아 몸이 찌뿌둥하다 왠지,exercise,indirect
6828,음 뭔가 역동적인 걸 하고 싶다 좀,exercise,ambiguous
6829,음 냉장고 앞으로 가 조금 해야겠다,kitchen,direct
6830,오늘 뭐 먹을 거 없나 조금 해야겠다,kitchen,indirect
6831,기분 전환 좀 할까.,kitchen,ambiguous
6832,좀 TV 있는 데로 이동해 조금 싶네,living room,direct
6833,음 소파에 눕고 싶다 약간 같은데,living room,indirect
6834,혹시 오늘은 늘어지고 싶다 왠지.,living room,ambiguous
6835,음 내 방으로 이동해 약간 싶네,bedroom,direct
6836,오늘 잠깐 낮잠 자고 싶다 진짜.,bedroom,indirect
6837,조용한 분위기가 좋다 약간.,bedroom,ambiguous
6838,갑자기 운동하는 곳으로 가줘 왠지!,exercise,direct
6839,혹시 몸이 찌뿌둥하다 약간.,exercise,indirect
6840,지금 활력이 필요하다 진짜 같은데,exercise,ambiguous
6841,갑자기 요리하는 공간으로 가줘 왠지 ㅠㅠ,kitchen,direct
6842,배가 좀 고프네 약간 같은데,kitchen,indirect
6843,오늘 기분 전환 좀 할까!,kitchen,ambiguous
6844,혹시 거실로 가줘 진짜 ㅠㅠ,living room,direct
6845,지금 소파에 눕고 싶다 진짜 좀,living room,indirect
6846,오늘 너무 피곤하다 좀,living room,ambiguous
6847,지금 조용한 방으로 가줘 약간.,bedroom,direct
6848,잠 좀 자고 싶네 진짜!,bedroom,indirect
6849,오늘 생각 정리 좀 하고 싶네 조금 ㅠㅠ,bedroom,ambiguous
6850,트레이닝 공간으로 가 조금.,exercise,direct
6851,음 몸 좀 움직이고 싶다 약간 같은데,exercise,indirect
6852,몸이 무거운 느낌이다 조금,exercise,ambiguous
6853,갑자기 냉장고 앞으로 가 약간 ㅠㅠ,kitchen,direct
6854,갑자기 커피 한잔 하고 싶다 좀,kitchen,indirect
6855,뭔가 하고 싶네 좀,kitchen,ambiguous
6856,음 거실 쪽으로 가자 진짜 해야겠다,living room,direct
6857,오늘 오늘은 아무 생각 하기 싫다 약간,living room,indirect
6858,오늘 오늘 너무 피곤하다 왠지 같은데,living room,ambiguous
6859,지금 내 방으로 이동해 왠지!,bedroom,direct
6860,몸이 너무 피곤하다 조금 싶네,bedroom,indirect
6861,오늘 조용한 데 가고 싶다 왠지!,bedroom,ambiguous
6862,음 운동하는 곳으로 가줘 약간 좀,exercise,direct
6863,아 몸이 찌뿌둥하다 진짜 싶네,exercise,indirect
6864,오늘 뭔가 역동적인 걸 하고 싶다 진짜 해야겠다,exercise,ambiguous
6865,지금 요리하는 공간으로 가줘 약간,kitchen,direct
6866,뭔가 만들어 먹고 싶네.,kitchen,indirect
6867,음 기분 전환 좀 할까 ㅠㅠ,kitchen,ambiguous
6868,음 TV 앞에 가고 싶어 약간,living room,direct
6869,오늘 편한 분위기가 좋다 조금 싶네,living room,indirect
6870,좀 잠깐 머리 식히고 싶네 진짜.,living room,ambiguous
6871,갑자기 잠잘 곳으로 안내해 진짜!,bedroom,direct
6872,혹시 쉬면서 자고 싶어 약간 ㅠㅠ,bedroom,indirect
6873,아 가만히 있고 싶다 진짜 ㅠㅠ,bedroom,ambiguous
6874,좀 스트레칭할 공간으로 가고 싶어 진짜 ㅠㅠ,exercise,direct
6875,좀 몸이 찌뿌둥하다 왠지 해야겠다,exercise,indirect
6876,좀 몸이 무거운 느낌이다 진짜 ㅠㅠ,exercise,ambiguous
6877,오늘 싱크대 있는 데로 가 약간!,kitchen,direct
6878,오늘 컵라면이라도 먹을까 조금 ㅠㅠ,kitchen,indirect
6879,좀 손 가는 걸 해보고 싶다.,kitchen,ambiguous
6880,좀 TV 앞에 가고 싶어 왠지,living room,direct
6881,오늘 좀 쉬고 싶네 같은데,living room,indirect
6882,갑자기 오늘 너무 피곤하다 왠지!,living room,ambiguous
6883,갑자기 방으로 가고 싶어!,bedroom,direct
6884,지금 눈이 감긴다 약간 ㅠㅠ,bedroom,indirect
6885,좀 잠잠한 곳이 좋네 약간!,bedroom,ambiguous
6886,지금 운동 공간으로 이동해 해야겠다,exercise,direct
6887,혹시 몸이 찌뿌둥하다 왠지 해야겠다,exercise,indirect
6888,아 에너지가 부족한 느낌이야 조금!,exercise,ambiguous
6889,혹시 주방으로 가줘 왠지 해야겠다,kitchen,direct
6890,물 마시고 싶다 진짜 해야겠다,kitchen,indirect
6891,간단하게 해결할 게 없나 왠지.,kitchen,ambiguous
6892,갑자기 쉬는 공간으로 이동하자 왠지 좀,living room,direct
6893,아 편한 분위기가 좋다 ㅠㅠ,living room,indirect
6894,지금 오늘은 늘어지고 싶다 왠지 좀,living room,ambiguous
6895,오늘 잠잘 곳으로 안내해 왠지 싶네,bedroom,direct
